,nitidez_borde,nitidez_interior,archivo
0,8.661403,7.2705836,salmones/labels/test/1329_png_jpg.rf.f715ebcaae86769a5976a38b3e15e9cc.txt
1,4.027773,3.1489217,salmones/labels/test/1329_png_jpg.rf.f715ebcaae86769a5976a38b3e15e9cc.txt
2,4.8247037,5.305147,salmones/labels/test/1329_png_jpg.rf.f715ebcaae86769a5976a38b3e15e9cc.txt
3,1.5735902,2.307578,salmones/labels/test/1329_png_jpg.rf.f715ebcaae86769a5976a38b3e15e9cc.txt
4,6.8506627,4.293446,salmones/labels/test/1977_png_jpg.rf.d3863d4a22ddda48662bc16e8cd232a1.txt
5,5.6063595,13.241168,salmones/labels/test/1977_png_jpg.rf.d3863d4a22ddda48662bc16e8cd232a1.txt
6,8.253268,5.4610953,salmones/labels/test/1977_png_jpg.rf.d3863d4a22ddda48662bc16e8cd232a1.txt
7,2.2653925,2.7097511,salmones/labels/test/1977_png_jpg.rf.d3863d4a22ddda48662bc16e8cd232a1.txt
8,5.409753,11.994359,salmones/labels/test/1977_png_jpg.rf.d3863d4a22ddda48662bc16e8cd232a1.txt
9,2.892865,3.0608897,salmones/labels/test/1977_png_jpg.rf.d3863d4a22ddda48662bc16e8cd232a1.txt
10,12.239507,5.6612654,salmones/labels/test/1977_png_jpg.rf.d3863d4a22ddda48662bc16e8cd232a1.txt
11,3.3502703,4.3448305,salmones/labels/test/1977_png_jpg.rf.d3863d4a22ddda48662bc16e8cd232a1.txt
12,5.537347,7.9172435,salmones/labels/test/1977_png_jpg.rf.d3863d4a22ddda48662bc16e8cd232a1.txt
13,11.044809,17.968063,salmones/labels/test/1977_png_jpg.rf.d3863d4a22ddda48662bc16e8cd232a1.txt
14,11.135207,6.8110313,salmones/labels/test/1977_png_jpg.rf.d3863d4a22ddda48662bc16e8cd232a1.txt
15,9.864594,5.3247056,salmones/labels/test/1977_png_jpg.rf.d3863d4a22ddda48662bc16e8cd232a1.txt
16,14.976244,12.307996,salmones/labels/train/labeled-63_png.rf.c911fbfec0d9854226ea53abee966193.txt
17,17.244907,8.87916,salmones/labels/train/labeled-63_png.rf.c911fbfec0d9854226ea53abee966193.txt
18,14.078095,14.64631,salmones/labels/train/labeled-63_png.rf.c911fbfec0d9854226ea53abee966193.txt
19,9.196181,5.4646525,salmones/labels/train/labeled-63_png.rf.c911fbfec0d9854226ea53abee966193.txt
20,14.260445,30.826668,salmones/labels/train/labeled-63_png.rf.c911fbfec0d9854226ea53abee966193.txt
21,10.437257,12.267214,salmones/labels/train/labeled-63_png.rf.c911fbfec0d9854226ea53abee966193.txt
22,14.88861,20.543224,salmones/labels/train/labeled-63_png.rf.c911fbfec0d9854226ea53abee966193.txt
23,12.021182,7.811295,salmones/labels/train/labeled-63_png.rf.c911fbfec0d9854226ea53abee966193.txt
24,13.736969,12.025742,salmones/labels/train/labeled-63_png.rf.c911fbfec0d9854226ea53abee966193.txt
25,10.796611,8.336163,salmones/labels/train/labeled-63_png.rf.c911fbfec0d9854226ea53abee966193.txt
26,14.336183,20.313097,salmones/labels/train/labeled-63_png.rf.c911fbfec0d9854226ea53abee966193.txt
27,10.578899,6.369831,salmones/labels/train/labeled-63_png.rf.c911fbfec0d9854226ea53abee966193.txt
28,6.9033365,5.733985,salmones/labels/train/labeled-63_png.rf.c911fbfec0d9854226ea53abee966193.txt
29,14.363751,13.728927,salmones/labels/train/labeled-63_png.rf.c911fbfec0d9854226ea53abee966193.txt
30,13.843823,8.620608,salmones/labels/train/labeled-63_png.rf.c911fbfec0d9854226ea53abee966193.txt
31,22.62599,17.834425,salmones/labels/train/labeled-63_png.rf.c911fbfec0d9854226ea53abee966193.txt
32,19.87031,14.000783,salmones/labels/train/labeled-63_png.rf.c911fbfec0d9854226ea53abee966193.txt
33,16.911331,11.253488,salmones/labels/train/labeled-63_png.rf.c911fbfec0d9854226ea53abee966193.txt
34,7.286476,4.2028437,salmones/labels/train/labeled-63_png.rf.c911fbfec0d9854226ea53abee966193.txt
35,14.774015,11.631081,salmones/labels/train/labeled-63_png.rf.c911fbfec0d9854226ea53abee966193.txt
36,19.235922,27.947098,salmones/labels/train/labeled-63_png.rf.c911fbfec0d9854226ea53abee966193.txt
37,5.027253,2.6146803,salmones/labels/train/labeled-63_png.rf.c911fbfec0d9854226ea53abee966193.txt
38,9.961332,12.823149,salmones/labels/train/labeled-63_png.rf.c911fbfec0d9854226ea53abee966193.txt
39,11.116746,6.6684732,salmones/labels/train/labeled-63_png.rf.c911fbfec0d9854226ea53abee966193.txt
40,18.635561,14.058427,salmones/labels/train/labeled-63_png.rf.c911fbfec0d9854226ea53abee966193.txt
41,15.630246,14.267251,salmones/labels/train/labeled-63_png.rf.c911fbfec0d9854226ea53abee966193.txt
42,7.895061,5.040403,salmones/labels/train/labeled-63_png.rf.c911fbfec0d9854226ea53abee966193.txt
43,9.94496,4.6206613,salmones/labels/train/labeled-63_png.rf.c911fbfec0d9854226ea53abee966193.txt
44,12.058777,24.098944,salmones/labels/train/labeled-63_png.rf.c911fbfec0d9854226ea53abee966193.txt
45,10.775083,8.642652,salmones/labels/train/labeled-63_png.rf.c911fbfec0d9854226ea53abee966193.txt
46,10.930874,14.078686,salmones/labels/train/labeled-63_png.rf.c911fbfec0d9854226ea53abee966193.txt
47,5.6983805,2.9325361,salmones/labels/train/labeled-63_png.rf.c911fbfec0d9854226ea53abee966193.txt
48,16.912806,14.473882,salmones/labels/train/labeled-63_png.rf.c911fbfec0d9854226ea53abee966193.txt
49,11.598041,9.2830105,salmones/labels/train/labeled-63_png.rf.c911fbfec0d9854226ea53abee966193.txt
50,8.851212,6.6994424,salmones/labels/train/labeled-63_png.rf.c911fbfec0d9854226ea53abee966193.txt
51,8.273143,4.9804983,salmones/labels/train/labeled-63_png.rf.c911fbfec0d9854226ea53abee966193.txt
